Author	Species	Plant_taxonomy	Plant_type	Longitude	Latitude	Elevation	Measurement_year	Vcmax_reported	Jmax_reported 	Vcmax_25C	Jmax_25C	Leaf_N 	Leaf_P	SLA	Needle_age	Treatment_CO2	Treatment_N	Treatment_P	Treatment_light	Treatment_other	Treatment_other_levels	Measurement_temperature	Photosynthetic_reference	Kinetic_reference	Km	Kc	Ko	Tau	Gamma_star	Wj_reference	J_reference	J_flag	Irradiance	Alpha	Theta	O2_reported	Notes
Turnbull et al 2007	Eucalyptus globulus	A	E	142.05	-37.03	470	not reported	35.58	123.8	79.29	160.87	1.67	0.19	-9999.999	not applicable	not applicable	not applicable	not applicable	not applicable	crown removal amount and timing afterwards	50% week 0	19	not applicable	Harley et al 1992	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	2000	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Weinmannia racemosa	A	E	170.3	-43.2	90	not reported	9	18	13.9	17.41	-9999.99	-9999.99	-9999.999	<1	not applicable	high	high	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Weinmannia racemosa	A	E	170.3	-43.2	90	not reported	9	19	13.9	18.32	-9999.99	-9999.99	-9999.999	<1	not applicable	low	low	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Weinmannia racemosa	A	E	170.3	-43.2	90	not reported	11	23	16.98	21.92	-9999.99	-9999.99	-9999.999	<1	not applicable	low	high	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Weinmannia racemosa	A	E	170.3	-43.2	90	not reported	21	49	32.42	43.77	-9999.99	-9999.99	-9999.999	<1	not applicable	high	low	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Dacrydium cupressinum	G	E	170.3	-43.2	90	not reported	24	58	35.98	48.53	-9999.99	-9999.99	-9999.999	<1	not applicable	high	low	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Prumnopitys ferruginea	G	E	170.3	-43.2	90	not reported	26	50	38.98	42.53	-9999.99	-9999.99	-9999.999	<1	not applicable	low	low	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Prumnopitys ferruginea	G	E	170.3	-43.2	90	not reported	27	58	40.48	48.53	-9999.99	-9999.99	-9999.999	<1	not applicable	low	high	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Dacrydium cupressinum	G	E	170.3	-43.2	90	not reported	28	70	41.98	57.28	-9999.99	-9999.99	-9999.999	<1	not applicable	low	low	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Metrosideros umbellata	A	E	170.3	-43.2	90	not reported	32	65	49.41	56.21	-9999.99	-9999.99	-9999.999	<1	not applicable	low	high	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
